profile_id,customer_id,email,loyalty_tier,marketing_opt_in,preferred_channel,birth_date,gender
CRMP-000874,CUST-000579,mark.walker510@yahoo.com,Gold,No,Mobile App,2000-08-16,Male
CRMP-001060,CUST-000216,lauren.barron967@yahoo.com,Bronze,No,Web,1974-10-24,Female
CRMP-000634,CUST-000445,mary.porter332@yahoo.com,Silver,Yes,Marketplace,2001-01-01,Female
CRMP-001105,CUST-001101,amanda.white379@gmail.com,Silver,Yes,Web,1973-05-31,Male
CRMP-002414,CUST-002039,robert.kim437@hotmail.com,Bronze,Yes,Mobile App,1960-07-09,Female
CRMP-002448,CUST-002443,debra.roberts700@yahoo.com,Bronze,Yes,Mobile App,1957-11-24,Female
CRMP-002192,CUST-000414,donald.hoover52@gmail.com,Gold,No,Web,1952-06-17,Male
CRMP-002037,CUST-002098,justin.cabrera901@gmail.com,Bronze,Yes,Mobile App,1995-05-14,fEMALE
CRMP-001310,CUST-001116,robert.smith103@gmail.com,Silver,Yes,Web,1962-10-27,Female
CRMP-000865,CUST-002778,julie.bailey229@hotmail.com,Gold,Yes,Web,1961-08-03,Male
CRMP-002256,CUST-001767,paul.green27@hotmail.com,Silver,No,Web,1987-03-22,Male
CRMP-001391,CUST-000847,michael.adams797@yahoo.com,Silver,Yes,Web,1967-05-27,Female
CRMP-000009,CUST-000483,ernest.robinson183@hotmail.com,Silver,Yes,Web,2000-12-03,Female
CRMP-000446,CUST-000655,michael.mason991@gmail.com,Gold,Yes,Web,2001-10-13,Male
CRMP-002033,CUST-000989,jennifer.ford727@gmail.com,Bronze,Yes,Marketplace,1970-12-31,Female
CRMP-000616,CUST-000639,catherine.johnson217@yahoo.com,Bronze,Yes,Mobile App,1996-02-01,Female
CRMP-001209,CUST-000682,michelle.washington789@gmail.com,,Yes,Marketplace,1972-01-27,Female
CRMP-000098,CUST-001415,alexander.montes829@yahoo.com,Gold,Yes,Mobile App,1981-03-09,Female
CRMP-002532,CUST-002441,breanna.kim598@gmail.com,Platinum,Yes,Web,2005-01-21,Male
CRMP-000350,CUST-001381,robert.duarte436@gmail.com,Silver,No,Mobile App,1944-04-02,Male
CRMP-000372,CUST-000916,matthew.medina557@yahoo.com,Silver,Yes,Mobile App,1965-08-25,Male
CRMP-001515,CUST-001773,joseph.zhang137@gmail.com,Bronze,Yes,Web,1963-07-12,Female
CRMP-000873,CUST-002761,jennifer.mcintyre633@yahoo.com,Gold,Yes,Web,2004-10-10,Male
CRMP-000051,CUST-001803,tonya.wright440@hotmail.com,Silver,No,Web,1952-03-25,Male
CRMP-001491,cust-001042,daniel.austin713@hotmail.com,Bronze,Yes,Mobile App,1968-08-22,Male
CRMP-001414,cust-000055,gerald.lewis80@gmail.com,Bronze,Yes,Mobile App,1948-09-09,Prefer not to say
CRMP-001709,CUST-000628,david.smith407@hotmail.com,Silver,Yes,Web,1989-09-17,Female
CRMP-000987,CUST-001532,april.owen139@yahoo.com,Bronze,Yes,Web,1943-07-01,Male
CRMP-002251,CUST-000175,nicholas.lopez721@gmail.com,Gold,No,Web,1984-08-01,Female
CRMP-000123,CUST-001757,amy.singleton124@yahoo.com,Silver,Yes,Marketplace,1959-03-04,Female
CRMP-002785,CUST-001912,SARAH.BROWN107@GMAIL.COM,Bronze,No,In-Store,2001-04-06,Female
CRMP-002378,CUST-002389,adriana.romero488@yahoo.com,,No,In-Store,1963-06-12,FEMALE
CRMP-000512,CUST-002410,teresa.mueller998@yahoo.com,Gold,Yes,In-Store,1998-07-29,Prefer not to say
CRMP-002230,CUST-000763,shawn.suarez170@gmail.com,Silver,Yes,In-Store,1972-09-01,Male
CRMP-000295,CUST-000005,gabrielle.ramirez513@hotmail.com,Gold,No,Web,1968-09-24,Male
CRMP-002362,CUST-002596,amanda.melton744@hotmail.com,Bronze,No,Web,1988-02-02,Prefer not to say
CRMP-002505,CUST-000931,curtis.davis638@hotmail.com,Silver,Yes,Marketplace,1970-08-28,Male
CRMP-002537,CUST-001364,judy.edwards842@hotmail.com,Silver,No,Web,2002-07-27,Female
CRMP-001112,CUST-002359,deborah.mitchell849@yahoo.com,Bronze,No,Web,1950-10-15,Female
CRMP-000259,CUST-002584,justin.cooper501@hotmail.com,Bronze,Yes,Web,1958-01-18,Male
CRMP-001905,CUST-002251, stephanie.terry446@yahoo.com ,Silver,Yes,Web,1992-02-12,Female
CRMP-001690,CUST-002079,garrett.dean410@yahoo.com,Gold,Yes,Web,1943-01-20,Male
CRMP-001110,CUST-001788,seth.hill282@gmail.com,Silver,Yes,Mobile App,1948-04-27,Female
CRMP-001816,CUST-000042,kyle.harmon418@hotmail.com,Gold,Yes,Web,1989-07-01,Male
CRMP-002130,CUST-000255,laura.duran384@hotmail.com,Bronze,Yes,Mobile App,1951-11-27,Female
CRMP-001729,CUST-000824,michelle.silva238@yahoo.com,Silver,Yes,Mobile App,2001-02-10,Male
CRMP-002272,CUST-001497,helen.moore140@yahoo.com,Bronze,No,Web,11-Sep-1943,Prefer not to say
CRMP-002105,CUST-002148,lauren.white517@yahoo.com,Silver,No,Marketplace,1972-12-15,Male
CRMP-002535,CUST-000609,joshua.gonzales163@gmail.com,Bronze,No,Mobile App,1963-12-29,Prefer not to say
CRMP-000326,CUST-000776,norman.johnson365@hotmail.com,Platinum,Yes,Web,1997-08-12,Female
CRMP-001589,CUST-001817,alice.grant516@hotmail.com,Bronze,Yes,In-Store,1992-04-02,Male
CRMP-000915,CUST-000980,austin.gomez67@yahoo.com,Platinum,No,Web,1991-09-01,Male
CRMP-000858,CUST-000198,susan.turner544@hotmail.com,Gold,No,Mobile App,2005-08-25,prefer not to say
CRMP-000754,CUST-002865,tracy.scott412@gmail.com,Bronze,Yes,Marketplace,1954-01-12,Female
CRMP-000527,CUST002814,eric.jackson342@gmail.com,Bronze,No,Web,1969-01-16,Female
CRMP-002816,CUST-001674,robert.smith828@gmail.com,Bronze,Yes,Mobile App,1950-09-18,Male
CRMP-002419,CUST-001104,jillian.wise333@yahoo.com,Silver,Yes,Web,1942-07-17,Male
CRMP-000797,CUST-002089,matthew.jacobs345@gmail.com,Bronze,No,In-Store,1961-02-15,Female
CRMP-001924,CUST-000315,michelle.brown222@hotmail.com,Bronze,Yes,Marketplace,1991-02-18,Female
CRMP-002395,CUST-000893,amber.baker754@hotmail.com,Bronze,Yes,Web,1946-02-14,Male
CRMP-001818,CUST-001726,stephanie.brock38@hotmail.com,Gold,No,Mobile App,1979-08-12,Male
CRMP-000019,CUST-000399,jerry.williams383@hotmail.com,Silver,No,Mobile App,1962-09-01,male
CRMP-000288,CUST-002675,sarah.dunn128@yahoo.com,Bronze,Yes,Web,1987-05-05,Male
CRMP-001450,CUST-002514,dawn.griffin788@hotmail.com,Bronze,Yes,Web,1965-12-26,Male
CRMP-000366,CUST-002682,andrew.clark847@yahoo.com,Silver,No,Marketplace,1983-04-28,Male
CRMP-002086,CUST-001904,anthony.hughes453@yahoo.com,,Yes,Mobile App,1946-05-01,Female
CRMP-000692,CUST-001323,jordan.moore265@yahoo.com,Silver,Yes,Web,1956-08-10,Male
CRMP-000633,CUST-000465,suzanne.coleman375@hotmail.com,Platinum,No,In-Store,1977-12-09,Female
CRMP-000774,CUST-002346,maria.vincent6@gmail.com,Bronze,No,Mobile App,2000-09-09,mALE
CRMP-002173,CUST-002312,donna.douglas752@yahoo.com,Silver,Yes,Web,1955-08-18,Female
CRMP-000944,CUST-001745,michael.gonzalez790@yahoo.com,Gold,Yes,Marketplace,1962-01-23,Non-binary
CRMP-000641,CUST-996595,william26@example.org,Silver,No,Mobile App,1976-11-02,Male
CRMP-001184,CUST-000665,brandon.ross59@gmail.com,Silver,No,Web,1983-12-14,Prefer not to say
CRMP-000408,CUST-001210,angela.perry137@gmail.com,Platinum,Yes,Web,1961-10-03,Female
CRMP-000821,CUST-002105,william.gonzalez537@gmail.com,Silver,Yes,Mobile App,1993-10-23,Female
CRMP-001917,CUST-000239,lindsey.green614@hotmail.com,Bronze,Yes,Mobile App,1980-04-28,Male
CRMP-000711,CUST-001754,gabriel.shah742@yahoo.com,Platinum,No,Mobile App,1998-05-17,Prefer not to say
CRMP-001770,CUST-945430,elewis@example.org,Gold,No,Mobile App,1986-01-15,Female
CRMP-001249,CUST-001604,shannon.allen86@hotmail.com,Silver,No,Marketplace,1997-03-31,Female
CRMP-001976,CUST-001317,henry.mccarthy832@gmail.com,Silver,Yes,Web,1993-05-20,Prefer not to say
CRMP-000815,CUST-000352,matthew.wagner178@gmail.com,Silver,Yes,In-Store,1979-06-05,Male
CRMP-000040,CUST-000355,rachel.bishop634@gmail.com,Silver,Yes,Web,1966-11-21,Female
CRMP-002174,CUST-001395,scott.benjamin578@yahoo.com,Bronze,Yes,Web,"June 26, 1981",Female
CRMP-001696,CUST-002505,kayla.boone840@gmail.com,Silver,Yes,Web,1960-06-14,Female
CRMP-001222,CUST-002728,christina.taylor956@yahoo.com,Platinum,No,In-Store,1993-05-05,Female
CRMP-001185,CUST-002723,michael.flores282@yahoo.com,Platinum,Yes,In-Store,1946-04-30,Female
CRMP-002322,CUST-000359,emily.klein171@hotmail.com,Bronze,Yes,Web,1995-10-28,Female
CRMP-000782,CUST-000333,brooke.smith674@gmail.com,Bronze,No,Web,1980-12-29,Non-binary
CRMP-001901,CUST-001106,corey.pope721@hotmail.com,Gold,No,Web,1965-09-28,Male
CRMP-000879,CUST-000983,jessica.henderson662@yahoo.com,Silver,Yes,Mobile App,1987-09-19,Male
CRMP-002582,CUST-001793,matthew.oconnell399@hotmail.com,Bronze,Yes,Mobile App,1973-08-30,Male
CRMP-000228,CUST-000266,arthur.schmidt770@yahoo.com,Bronze,Yes,Mobile App,1985-08-09,Prefer not to say
CRMP-001413,cust-000272,rachael.roberts201@gmail.com,Platinum,Yes,Mobile App,1942-04-18,Female
CRMP-002194,CUST-002202,david.jones509@hotmail.com,Gold,Yes,Web,1975-02-07,Female
CRMP-000588,CUST-002113,jeanne.robinson823@hotmail.com,Silver,Yes,Marketplace,1961-08-03,Female
CRMP-001927,CUST-001336,bruce.martin302@gmail.com,Silver,Yes,Mobile App,1952-08-13,fEMALE
CRMP-002113,cust-001025,donna.hopkins536@hotmail.com,Silver,Yes,Marketplace,1943-08-23,Male
CRMP-000035,CUST-001310,jacob.ramos557@gmail.com,Bronze,Yes,Web,1945-06-26,Male
CRMP-000171,CUST-000589,victor.johnson713@yahoo.com,Bronze,No,Web,1992-01-29,Female
CRMP-000698,CUST-000581,jessica.glass99@hotmail.com,Bronze,No,Mobile App,1955-11-26,Female
CRMP-002618,CUST-000422,james.bennett358@hotmail.com,Silver,Yes,Mobile App,1982-06-13,Male
CRMP-001521,CUST-002062,wayne.clements595@gmail.com,Gold,No,Marketplace,1973-08-06,Male
CRMP-000735,CUST-002581,david.powell977@hotmail.com,Silver,Yes,Mobile App,1962-08-12,Male
CRMP-000392,CUST-001828,kelsey.brown761@gmail.com,Gold,Yes,Web,1970-02-28,Female
CRMP-002518,CUST-002252,ANN.HANSEN771@GMAIL.COM   ,Platinum,Yes,Mobile App,1976-08-01,Male
CRMP-002005,CUST-000808,david.fields737@hotmail.com,Silver,Yes,Mobile App,1942-05-01,Male
CRMP-001229,CUST-000908,JULIE.MAYS844@GMAIL.COM,Silver,No,Marketplace,1998-03-01,Female
CRMP-001321,CUST-000835,zachary.jenkins522@yahoo.com,Bronze,No,Marketplace,1956-01-16,Male
CRMP-002705,CUST-000156,jonathan.combs433@gmail.com,Bronze,No,Mobile App,1965-06-17,Male
CRMP-002682,CUST-000865,heidi.wagner749@yahoo.com,Bronze,No,Web,1944-09-05,Non-binary
CRMP-001710,CUST-000744,tamara.rice597@gmail.com,Platinum,Yes,Web,1942-08-03,Prefer not to say
CRMP-001788,CUST-001510,patricia.johnson582@hotmail.com,Bronze,Yes,Mobile App,1983-09-04,Female
CRMP-002396,CUST-002637,jacob.harris595@hotmail.com,Bronze,No,Mobile App,1997-01-23,Female
CRMP-000795,CUST-000275,kayla.williams834@yahoo.com,Bronze,No,Mobile App,1946-02-08,Male
CRMP-001075,CUST-001403,jennifer.greene607@hotmail.com,Bronze,No,Mobile App,1992-03-03,Male
CRMP-002292,CUST-001315,caitlyn.cole60@yahoo.com,Silver,Yes,Marketplace,1975-02-02,Male
CRMP-001108,CUST-001798,bianca.barnes262@gmail.com,Bronze,Yes,Mobile App,1999-09-13,Prefer not to say
CRMP-001286,CUST-000590,jeffrey.gray411@hotmail.com,Bronze,Yes,Web,2004-04-11,Female
CRMP-001860,CUST-001572,clinton.whitehead466@hotmail.com,Gold,Yes,Web,1956-07-26,Female
CRMP-000965,CUST-000335,jill.dorsey637@hotmail.com,Silver,Yes,Mobile App,1964-05-04,Male
CRMP-002587,CUST-001449,cheryl.pitts392@yahoo.com,Bronze,Yes,Mobile App,1946-09-22,Female
CRMP-001468,CUST-000056,timothy.miller128@yahoo.com,Bronze,Yes,Marketplace,1994-12-27,Female
CRMP-001947,000685,stephen.williams574@hotmail.com,Bronze,Yes,Web,1958-01-19,Male
CRMP-001716,CUST-001866,angel.hoffman544@yahoo.com,Bronze,Yes,Web,1956-10-12,Female
CRMP-000890,CUST-000154,tiffany.parks783@gmail.com,Platinum,Yes,Web,1959-11-28,Male
CRMP-000016,CUST-001062,timothy.warner352@yahoo.com,Gold,Yes,Web,1975-01-24,Male
CRMP-000821,CUST-002105,william.gonzalez537@gmail.com,Silver,Yes,Mobile App,1993-10-23,Female
CRMP-000075,CUST-002138,brett.baker93@yahoo.com,Platinum,Yes,Marketplace,1959-02-22,Male
CRMP-000775,CUST-001098,alexander.smith337@hotmail.com,Gold,No,Web,1946-09-21,Male
CRMP-000706,CUST-002582,brian.elliott501@hotmail.com,Bronze,No,Mobile App,1967-11-12,Male
CRMP-001258,CUST-002473,heather.dunn932@gmail.com,Gold,Yes,Web,2005-04-21,Prefer not to say
CRMP-001584,CUST-001401,cathy.morgan337@yahoo.com,Silver,No,Mobile App,1950-01-31,Female
CRMP-000053,CUST-000700,eric.palmer870@gmail.com,Silver,Yes,Web,2003-06-26,Male
CRMP-000124,CUST-000196,tara.browning877@yahoo.com,Platinum,Yes,Mobile App,2002-02-11,Male
CRMP-001953,CUST-002152,jesse.soto187@yahoo.com,Silver,Yes,In-Store,1946-11-23,Female
CRMP-000877,CUST-002145,matthew.anderson578@gmail.com,Silver,Yes,Marketplace,1983-09-29,Female
CRMP-002122,CUST-000802,amanda.herman299@hotmail.com,Gold,No,Web,1960-09-12,Male
CRMP-000438,CUST-001624,elizabeth.richards296@yahoo.com,Bronze,Yes,Mobile App,1961-03-07,Male
CRMP-002634,CUST-002056,stephanie.brown315@gmail.com,Gold,Yes,Web,1989-06-10,Female
CRMP-001238,CUST-000405,ashley.lloyd793@hotmail.com,Silver,No,Mobile App,1998-11-25,Female
CRMP-002299,CUST-001854,cathy.wilson660@hotmail.com,Silver,Yes,Web,1966-02-28,Male
CRMP-001378,CUST-002633,catherine.snow834@yahoo.com,Gold,No,Marketplace,1961-12-21,Male
CRMP-000977,CUST-000901,michelle.franco445@yahoo.com,Gold,Yes,Mobile App,1945-04-17,Male
CRMP-002472,CUST-001301,robin.diaz436@hotmail.com,Gold,Yes,In-Store,1996-12-02,Female
CRMP-001502,CUST001417,carlos.hall546@hotmail.com,Bronze,No,Marketplace,1961-07-20,Female
CRMP-002761,CUST-000140,denise.king735@hotmail.com,Bronze,No,Web,1980-08-10,Female
CRMP-001322,CUST-001279,daniel.wilson991@yahoo.com,Bronze,Yes,Marketplace,1954-05-10,Female
CRMP-002704,CUST-001739,  amanda.levy806@yahoo.com,Silver,No,In-Store,1972-05-16,Female
CRMP-001933,CUST-002937,stacy.clark576@gmail.com,Bronze,No,Mobile App,1978-11-05,Male
CRMP-001159,CUST-001407,monique.white208@yahoo.com,Platinum,Yes,Mobile App,1973-05-24,Female
CRMP-000478,CUST-000211,cheryl.rodriguez289@hotmail.com,Bronze,No,In-Store,06/12/1957,Female
CRMP-002089,CUST-000514,danny.gibson361@hotmail.com,Bronze,No,Mobile App,1999-02-27,Female
CRMP-000998,CUST-002111,dustin.villegas468@hotmail.com,Silver,Yes,Mobile App,1971-10-02,Female
CRMP-000170,CUST-000008,donna.miller545@hotmail.com,Silver,Yes,Web,1977-08-26,Prefer not to say
CRMP-002175,CUST-000733,melissa.thomas186@yahoo.com,Silver,No,Mobile App,1943-06-11,Male
CRMP-002152,CUST-002379,luis.duarte474@hotmail.com,Platinum,No,Web,1941-02-25,Male
CRMP-001718,CUST-000495,BECKY.MOYER930@YAHOO.COM,Bronze,No,Mobile App,1984-02-01,Female
CRMP-002373,CUST-001243,christopher.aguirre38@yahoo.com,Gold,Yes,Mobile App,1977-02-09,Male
CRMP-001920,CUST000291,james.johnson582@hotmail.com,Bronze,No,Marketplace,1984-03-29,Male
CRMP-000339,CUST-002619,tammy.gonzales727@gmail.com,Silver,Yes,Mobile App,1960-01-28,Female
CRMP-000109,CUST-000347,laura.marsh386@gmail.com,Silver,No,Web,"January 05, 1980",Female
CRMP-000176,CUST-000658,kevin.green616@hotmail.com,Bronze,Yes,In-Store,2001-07-17,Male
CRMP-002670,CUST-001084,lisa.thomas860@hotmail.com,Bronze,Yes,Mobile App,1995-04-21,Male
CRMP-001662,CUST-941970,  hlane@example.org,Bronze,Yes,Web,1982-05-16,Female
CRMP-000949,CUST-002336,bryan.lee684@gmail.com,Bronze,Yes,Mobile App,1959-03-17,Male
CRMP-000014,CUST-000282,christopher.clark839@yahoo.com,,Yes,Mobile App,1961-08-09,Female
CRMP-000689,CUST-001074,shawn.richmond492@hotmail.com,Bronze,Yes,Marketplace,1955-12-11,Female
CRMP-002790,CUST-000692,melissa.torres205@gmail.com,Silver,Yes,Mobile App,1978-01-27,Male
CRMP-001018,CUST-000225,mark.valencia509@yahoo.com,Bronze,Yes,Mobile App,1956-12-07,Female
CRMP-001341,CUST002630,wayne.ward824@yahoo.com,Platinum,No,In-Store,2003-06-30,Male
CRMP-000092,CUST-000263,antonio.carroll668@yahoo.com,Silver,Yes,Web,1979-05-01,Female
CRMP-002563,CUST-002882,david.torres344@gmail.com,Silver,Yes,Mobile App,1962-09-24,Female
CRMP-001552,CUST-000443,julie.wilson68@yahoo.com,Platinum,Yes,Web,1947-10-09,Female
CRMP-000531,CUST-001498,katie.arnold866@yahoo.com,Platinum,Yes,Web,1999-02-18,Male
CRMP-002244,CUST-001075,kristen.ward445@hotmail.com,Bronze,Yes,Marketplace,1963-05-05,Male
CRMP-000106,CUST-001634,jonathan.love499@gmail.com,Platinum,Yes,Web,1956-12-17,Male
CRMP-000240,CUST-001545,debra.harrison745@hotmail.com,Bronze,Yes,Mobile App,1960-08-12,Female
CRMP-002177,CUST-001486,amanda.jackson255@gmail.com,Bronze,Yes,Web,1996-05-16,Male
CRMP-000619,CUST-001199,jillian.chandler970@gmail.com,Silver,No,Mobile App,2004-11-09,Male
CRMP-002709,CUST001136,melissa.vazquez597@gmail.com,Gold,No,Mobile App,1947-01-19,Female
CRMP-000487,CUST-001400,phillip.martin533@hotmail.com,Bronze,Yes,Mobile App,1963-04-05,Prefer not to say
CRMP-000148,CUST-001920,scott.galvan760@gmail.com,Silver,No,Mobile App,1997-11-04,Male
CRMP-002430,CUST-000132,lisa.reed319@yahoo.com,Gold,Yes,Marketplace,2004-10-14,Female
CRMP-000448,CUST-002400,mark.wade678@yahoo.com,Silver,No,Mobile App,1971-05-02,Male
CRMP-002231,CUST-000417,maria.jackson525@gmail.com,Silver,Yes,Mobile App,1940-09-27,Female
CRMP-001272,CUST-001887,daniel.lopez400@yahoo.com,Bronze,No,Web,1959-09-30,Male
CRMP-000358,CUST-002369,elizabeth.morgan755@gmail.com,Gold,Yes,Mobile App,1942-06-20,Male
CRMP-000819,CUST-001518,SARAH.OWENS150@HOTMAIL.COM,,Yes,Mobile App,1973-04-16,Male
CRMP-002772,CUST-001118,cassandra.lopez887@gmail.com   ,Bronze,No,Mobile App,2001-02-19,Female
CRMP-001573,CUST-000034,kevin.lyons91@gmail.com,Bronze,Yes,In-Store,1997-06-13,Male
CRMP-001747,CUST-000126,gary.edwards114@gmail.com,Platinum,Yes,Web,1961-12-17,Female
CRMP-002598,CUST-000637,gina.grant804@yahoo.com,Platinum,Yes,Mobile App,2002-09-18,Female
CRMP-001553,CUST-000521,ronald.dickson826@yahoo.com,Gold,Yes,Web,1951-08-19,Male
CRMP-002763,CUST-000593,christina.ward162@hotmail.com,Silver,Yes,Mobile App,2007-02-24,Male
CRMP-001218,CUST-002556,justin.morris349@hotmail.com,Silver,Yes,Mobile App,1977-08-29,Female
CRMP-002608,CUST-001424,michelle.pearson885@gmail.com,Gold,Yes,Mobile App,1982-05-17,Female
CRMP-001721,CUST-002718,lisa.elliott367@gmail.com,Bronze,Yes,Mobile App,05/27/2001,Male
CRMP-002143,CUST-002763,michael.bailey53@hotmail.com,Platinum,Yes,Web,1951-08-12,Female
CRMP-001475,CUST-002429,helen.davis519@hotmail.com,Silver,No,Web,1953-04-01,Male
CRMP-002264,CUST-002511,justin.gibson595@yahoo.com   ,Bronze,No,Web,1958-02-14,Non-binary
CRMP-002277,CUST-001633,veronica.rodgers839@hotmail.com,Gold,No,Web,1956-07-22,Female
CRMP-002583,CUST-002854,jillian.perez807@hotmail.com,Bronze,No,Marketplace,1956-03-22,Female
CRMP-000841,CUST-000804,james.hudson342@hotmail.com,Bronze,Yes,Web,1965-07-31,Male
CRMP-002257,CUST-001516,david.campbell469@gmail.com,Bronze,No,Web,"May 17, 1987",Prefer not to say
CRMP-001812,CUST-002343,victor.good773@gmail.com,Bronze,Yes,Marketplace,1970-02-22,Non-binary
CRMP-001963,CUST-002949,steven.thomas298@hotmail.com,Gold,Yes,Mobile App,1996-10-01,Female
CRMP-001986,CUST-001909,patricia.gaines990@yahoo.com,Bronze,Yes,Web,1957-02-10,Non-binary
CRMP-000750,CUST-000409,stephen.harris91@gmail.com,Gold,Yes,Web,2006-09-02,Female
CRMP-002242,CUST-002883,thomas.boyd821@gmail.com,Gold,Yes,Mobile App,1993-02-01,Male
CRMP-002214,CUST-001715,jason.smith691@yahoo.com,Platinum,No,In-Store,1993-11-04,Female
CRMP-000880,CUST-001179,kaitlyn.wright885@hotmail.com,Bronze,Yes,Mobile App,1970-09-23,Male
CRMP-001590,CUST-002590,elizabeth.douglas17@gmail.com,Silver,No,Web,1981-09-04,Male
CRMP-001851,CUST-001635,stephen.rice344@gmail.com,Gold,Yes,Web,1959-06-21,Female
CRMP-002294,CUST-002616,sean.wallace974@gmail.com,Bronze,Yes,Marketplace,1967-09-15,Male
CRMP-000272,CUST-001743,donna.williams547@gmail.com,,No,Web,1987-04-16,Female
CRMP-002329,CUST-001721,sharon.morris315@yahoo.com,Bronze,Yes,Marketplace,1962-01-29,Female
CRMP-002319,CUST-000365,kathleen.contreras983@gmail.com,Bronze,Yes,Web,1940-10-13,Female
CRMP-000483,CUST-000720,brandon.costa663@yahoo.com,Bronze,Yes,Web,1997-08-01,Female
CRMP-000870,CUST-002555,brooke.fowler575@gmail.com,Platinum,Yes,Mobile App,1991-07-17,Female
CRMP-002493,CUST-000064,christopher.fletcher188@hotmail.com,Gold,No,Web,1965-05-01,Female
